Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies,Genres
236053062,Girl in love (Italian Edition),Kelly Oram,"Oram, Kelly",Federica D'Ascani,"=""""","=""9791255171591""",0.0,Always Publishing,Kindle Edition,305.0,2025.0,2019.0,2024/03/01,2026/07/16,,,read,,,,1,0,Unknown
230873234,Abroad: Un anno per innamorarsi (Italian Edition),Alessia Merola,"Merola, Alessia",,"=""8892747878""","=""9788892747876""",0.0,Sperling & Kupfer,Kindle Edition,355.0,2025.0,,2025/09/20,2026/07/16,,,read,,,,1,0,Unknown
208913913,Lady Pride and Mister Prejudice,Bianca Marconero,"Marconero, Bianca",,"=""8809929055""","=""9788809929050""",0.0,Giunti,Kindle Edition,564.0,2024.0,2024.0,2025/11/19,2026/07/16,,,read,,,,1,0,Unknown
124986666,Un'estate dopo l'altra. Every Summer After,Carley Fortune,"Fortune, Carley",,"=""""","=""""",0.0,Newton Compton Editori,Kindle Edition,347.0,2023.0,2022.0,2025/11/01,2026/07/16,,,read,,,,1,0,Unknown
218800272,Instant Karma (Italian Edition),Marissa Meyer,"Meyer, Marissa",Maria Carla Dallavalle,"=""8835737443""","=""9788835737445""",0.0,Mondadori,Kindle Edition,518.0,2024.0,2020.0,2026/06/29,2026/06/29,,,read,,,,1,0,Unknown
221196242,Love me love me 4: Ancora insieme (Italian Edition),Stefania S.,"S., Stefania",,"=""8892747096""","=""9788892747098""",0.0,Sperling & Kupfer,Kindle Edition,367.0,2024.0,,2025/02/01,2026/05/30,,,read,,,,1,0,Unknown
204242492,Love Me Love Me 3: Amore senza fine (Italian Edition),Stefania S.,"S., Stefania",,"=""8892745662""","=""9788892745667""",0.0,SPERLING & KUPFER,Kindle Edition,916.0,2024.0,,2024/10/01,2026/05/30,,,read,,,,1,0,Unknown
243615332,"But Santa, I love him",Hazel Riley,"Riley, Hazel",Karim B.,"=""8820083779""","=""9788820083779""",0.0,Sperling & Kupfer,Hardcover,400.0,2025.0,,2025/12/24,2026/05/30,,,read,,,,1,0,Unknown
56843872,"La Corte di fiamme e argento (La corte di rose e spine, #5)",Sarah J. Maas,"Maas, Sarah J.","Claudia Valentini, Elisa Leonzio","=""8804732326""","=""9788804732327""",0.0,Mondadori,Hardcover,720.0,2021.0,2021.0,,2026/05/30,to-read,to-read (#2),to-read,,,,0,0,Unknown
251101737,Tears on my pen drive (Italian Edition),Karim B.,"B., Karim",,"=""8892749722""","=""9788892749726""",0.0,Sperling & Kupfer,Kindle Edition,455.0,2026.0,,,2026/05/30,currently-reading,currently-reading (#3),currently-reading,,,,1,0,Unknown
59781601,"Una corte di spine e rose (Una corte di spine e rose, #1-3.5)",Sarah J. Maas,"Maas, Sarah J.",Lia Desotgiu,"=""8835713951""","=""9788835713951""",0.0,Mondadori,Kindle Edition,2262.0,2021.0,2018.0,2026/05/28,2026/05/30,,,read,,,,1,0,Unknown
247327704,Leggeri come l'aurora,Rita Nardi,"Nardi, Rita",,"=""8811022444""","=""9788811022442""",0.0,Garzanti,ebook,272.0,2026.0,,2026/04/29,2026/04/29,,,read,,,,1,0,Unknown
199139634,Love Me Love Me 2: Anime elettriche (Italian Edition),Stefania S.,"S., Stefania",,"=""8892744992""","=""9788892744998""",0.0,Sperling & Kupfer,Kindle Edition,1082.0,2023.0,,2024/06/01,2026/02/08,,,read,,,,1,0,Unknown
102402606,Cessetto,Silvia Schiavo,"Schiavo, Silvia",,"=""881702127X""","=""9788817021272""",0.0,Rizzoli,Paperback,171.0,2008.0,,2026/01/17,2026/01/18,,,read,,,,1,0,Unknown
237030427,La montagna e i suoi silenzi (Monte San Giovanni) (Italian Edition),Alessandro Seren Rosso,"Rosso, Alessandro Seren",,"=""""","=""9798288318108""",5.0,Independently published,Paperback,167.0,2025.0,,2025/10/18,2026/01/18,,,read,,,,1,0,Unknown
217519465,Omicidio sotto l'albero (Un Detective Con Le Vibrisse) (Italian Edition),Molly Fitz,"Fitz, Molly",Barbara Parutto,"=""""","=""9798336004403""",5.0,Independently published,Paperback,186.0,2024.0,2019.0,,2024/12/26,,,read,,,,2,0,Unknown
179373700,"Meglio che nei film (Better than the Movies, #1)",Lynn Painter,"Painter, Lynn",,"=""""","=""""",0.0,Magazzini Salani,Kindle Edition,342.0,2023.0,2021.0,2024/10/08,2024/11/08,,,read,,,,1,0,Unknown
216166356,L'himalayano corre sul treno (Un Detective Con Le Vibrisse) (Italian Edition),Molly Fitz,"Fitz, Molly",Barbara Parutto,"=""""","=""9798332413391""",5.0,Independently published,Paperback,180.0,2024.0,,2024/09/23,2024/11/08,,,read,,,,1,0,Unknown
36416791,"Il castello errante di Howl. La trilogia (Howl's Moving Castle, #1-3)",Diana Wynne Jones,"Jones, Diana Wynne",,"=""8898002890""","=""9788898002894""",0.0,Kappalab,Paperback,647.0,2017.0,2014.0,2024/08/30,2024/10/09,,,read,,,,1,0,Unknown
9764698,"La Fiamma della Vita (Unika, #1)",E.J. Allibis,"Allibis, E.J.",,"=""8841862114""","=""9788841862117""",0.0,DeAgostini,Hardcover,508.0,2010.0,,2024/08/09,2024/10/09,,,read,,,,1,0,Unknown
3646879,La regina della casa,Sophie Kinsella,"Kinsella, Sophie",Annamaria Raffo,"=""8804563869""","=""9788804563860""",0.0,Mondadori,Paperback,350.0,2007.0,2005.0,2024/09/09,2024/10/09,,,read,,,,1,0,Unknown
